name,address,phone,google_logo_url,type,latitude,longitude,Full Address
Utiva,"Lagos, Nigeria",+234 806 211 1308,https://www.businesslist.com.ng/img/ng/m/_1695940996-87-utiva.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Yako Medical,"6 Saka Tinubu St, Victoria Island 106104, Lagos, Nigeria",2.34809E+12,https://www.businesslist.com.ng/img/ng/n/_1695941093-48-yako-medical.jpg,others,6.42707194,3.4202299,"Saka Tinubu Street, Victoria Island, Itirin, Eti Osa, Lagos, 500001, Nigeria"
Prime Span Investment Limited,"LEKKI, Lagos, Lagos, Nigeria",7037437930,,others,6.4711251,3.814750442,"Ibeju Lekki, Lagos, Nigeria"
Safetrade International Limited,"31, Princess Street, Lagos Island, Lagos, Nigeria",2.34808E+11,,others,6.460262288,3.392828069,"Princess Street, Lagos, Lagos Island, Lagos, 100242, Nigeria"
Dash Studios,"Lagos, Nigeria",2.34907E+12,,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Digital Reality Print Limited,"14 Ogunlana Drive, Surulere, Lagos, Nigeria",(+234-1) 2716968,,others,6.5073961,3.352604797,"Ogunlana Drive, Surulere, Lagos, 102215, Nigeria"
Dukka,"42 Saka Tinubu St, Victoria Island 101241, Lagos, Nigeria",01 887 8000,,others,6.42707194,3.4202299,"Saka Tinubu Street, Victoria Island, Itirin, Eti Osa, Lagos, 500001, Nigeria"
Esotech Integrated Nigeria,"Lagos, Lagos, Nigeria",8030543755,,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
First Guarantee Pension Limited,"3 Idowu Martins Street, Victoria Island, Lagos, Nigeria",(+234-1) 2614313,,others,6.432899708,3.420003218,"Idowu Martins Street, Victoria Island, Eti Osa, Lagos, 500001, Nigeria"
Inspired Scoop,"Lagos, Nigeria",-2701,,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Autotek Pro,"Ifako-Gbagada , Lagos, Lagos, Nigeria",902156805,https://www.businesslist.com.ng/img/ng/s/_1525199575-15-autotek-pro.jpg,others,6.56086085,3.391926217,"Oke-Ifako Nursery / Primary School, 1, Alhaji Adebesin Street, Gbagada, Oworonṣoki, Kosofe, Lagos, 100234, Nigeria"
Brainy Educare,"136 Bode Thomas St, Surulere 300001, Lagos, Nigeria",+234 708 979 3568,https://www.businesslist.com.ng/img/ng/r/_1695941852-44-brainy-educare.png,others,6.488513413,3.362394746,"Bode Thomas Street, Iganmu, Surulere, Lagos, 102215, Nigeria"
Coco Grooming Centre,"57 Opebi Road, Ikeja, Lagos, Nigeria",-4979049,https://www.businesslist.com.ng/img/ng/k/_1695940323-98-coco-grooming-centre.png,others,6.585393143,3.364718386,"Opebi Road, Oshosun, Ikeja, Lagos, 100211, Nigeria"
Cocoon Homes,"26 Adetokunbo Ademola Street, Victoria Island 106104, Lagos, Nigeria",+234 809-844-5566,https://www.businesslist.com.ng/img/ng/e/_1695941689-71-cocoon-homes.jpg,others,6.43543814,3.43075788,"Adetokunbo Ademola Street, Victoria Island, Itirin, Eti Osa, Lagos, 500001, Nigeria"
DLM Capital Group,"66-68 Alexander Ave, Ikoyi 106104, Lagos, Nigeria",23415151115,https://www.businesslist.com.ng/img/ng/l/_1695945994-52-dlm-capital-group.jpg,others,6.453331288,3.447947131,"Alexander Avenue, Ikoyi, Falomo, Eti Osa, Lagos, 106104, Nigeria"
Ekiipps Tel. Sys. Ltd.,"83 Adeniyi Jones Av. Ikeja, Lagos, Nigeria",01-4930790,https://www.businesslist.com.ng/img/ng/f/_1695940448-92-ekiipps-tel-sys-ltd.png,others,6.611372248,3.345193435,"Adeniyi Jones Avenue, Alausa, Ikeja, Lagos, 100282, Nigeria"
GreenKey Facility Management Services,"17 Karimu Kotun St, Victoria Island 106104, Lagos, Nigeria",+234 909 777 3065,https://www.businesslist.com.ng/img/ng/h/_1695941704-87-greenkey-facility-management-services.jpg,others,6.427412198,3.425622485,"Karimu Kotun Street, Victoria Island, Itirin, Eti Osa, Lagos, 500001, Nigeria"
Inspired Scoop Digital Services,"Lagos, Nigeria",,,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Management Transformation,"Unit 8, Udi St, Ikoyi 106104, Lagos, Nigeria",+234 704 705 7822,https://www.businesslist.com.ng/img/ng/n/_1695946013-54-management-transformation.jpg,others,6.464042572,3.42445351,"Udi Street, Osborne Foreshore Estate, Ikoyi, Falomo, Eti Osa, Lagos, 101222, Nigeria"
SB Telecoms & device,"Tafawa Balewa Rd, Lagos Island 102273, Lagos, Nigeria",+234 811 367 7777,https://www.businesslist.com.ng/img/ng/g/_1695946069-37-sb-telecoms-device.png,others,6.446114251,3.400352114,"Tafawa Balewa Square, Lagos, Lagos Island, Lagos, 100242, Nigeria"
Spaceba,"Plot 7 Abagbon Cl, Victoria Island 106104, Lagos, Nigeria",0906 000 3480,https://www.businesslist.com.ng/img/ng/l/_1695941045-31-spaceba.png,others,6.4285226,3.417494031,"Abagbon Close, Victoria Island, Eti Osa, Lagos, 101241, Nigeria"
Teach For Nigeria,"35 Moloney St, Lagos Island 102273, Lagos, Nigeria",+234 909 860 0713,https://www.businesslist.com.ng/img/ng/c/_1695941089-73-teach-for-nigeria.jpg,others,6.448050359,3.405167415,"Moloney Street, Lagos, Lagos Island, Lagos, 101222, Nigeria"
Webkraft Academy,"80 Adetokunbo Ademola Street, Victoria Island 106104, Lagos, Nigeria",-3346,https://www.businesslist.com.ng/img/ng/g/_1695941694-76-webkraft-academy.jpg,others,6.4259352,3.428603061,"Maison Fahrenheit, 80, Adetokunbo Ademola Street, Victoria Island, Itirin, Eti Osa, Lagos, 500001, Nigeria"
Garmspot,"2 Alexander Ave, Ikoyi 106104, Lagos, Nigeria",,https://www.businesslist.com.ng/img/ng/a/_1695941089-79-garmspot.jpg,others,6.453331288,3.447947131,"Alexander Avenue, Ikoyi, Falomo, Eti Osa, Lagos, 106104, Nigeria"
Abdak Venture,"71, Princess Street, Lagos Island, Nigeria",8095154521,,others,6.461508159,3.39304277,"Princess Street, Lagos, Lagos Island, Lagos, 100242, Nigeria"
Bare Communications,"11, Oguntolu Street, Shomolu, Lagos, Nigeria",8053047452,,others,6.536788968,3.370681852,"Oguntolu Street, Somolu, Shomolu, Lagos, 100231, Nigeria"
Business Empowerment Cooperative Society Limited,"2, Beecroft, Lagos Island, Nigeria",7031615938,,others,6.452321747,3.400785853,"Beecroft street, Lagos, Lagos Island, Lagos, 100242, Nigeria"
Daid Group Nigeria Limited,"Oshodi Isolo, Lagos, Lagos, Nigeria",8037185913,,others,6.53984935,3.312384019,"Oshodi/Isolo, Lagos, 100263, Nigeria"
Datalex Media Services,"123, Ojuelegba Road, Surulere, Lagos, Nigeria",7030097972,,others,6.509511059,3.366432896,"Ojuelegba Road, Surulere, Lagos, 102215, Nigeria"
Datablue Systems Limited,"75, Ojuelegba Road-Surulere, Surulere, Surulere, Lagos, Nigeria",8036124282,,others,6.509511059,3.366432896,"Ojuelegba Road, Surulere, Lagos, 102215, Nigeria"
Dataccess,"34, Road 12, Lekki Estate, Eti Osa, Lagos, Nigeria",8033322556,,others,6.46471415,3.6043913,"Road 12, Lekki Gardens Phase 3 Estate, Eti Osa, Lagos, 101245, Nigeria"
Defture Nigeria Limited,"34, Awolowo Way, Ikeja, Lagos, Nigeria",8077706964,,others,6.60776661,3.350015044,"Obafemi Awolowo Way, Alausa, Ikeja, Lagos, 100282, Nigeria"
Driving Solutions Nigeria Limited,"5A, Aderibigbe Shitta, Ikeja, Lagos, Nigeria",18418271,,others,6.575947932,3.367932113,"Aderibigbe Shitta Street, Onigbongbo, Ikeja, Lagos, 100211, Nigeria"
Erosoft Technologies Limited,"18, John Olugbo Street, Ikeja, Lagos, Nigeria",8034279824,,others,6.599387883,3.347117244,"John Olugbo Street, Alausa, Ikeja, Lagos, 100282, Nigeria"
Financial Advisory Legal Consultants Limited,"47, Raymond Njoku Street, Ikoyi, Eti Osa, Lagos, Lagos, Nigeria",8027775051,,others,6.442343536,3.422506379,"Raymond Njoku Street, Ikoyi, Falomo, Eti Osa, Lagos, 101241, Nigeria"
Goshen Bliss Limited,"70b Apapa Road Ebute Metta Lagos, Ebute Metta, Lagos Mainland, Nigeria",8069436275,,others,6.481529778,3.37890577,"Apapa Road, Iddo, Ebute-Metta, Lagos Mainland, Lagos, 104233, Nigeria"
Haggai Mortgage Bank,"119 Bode Thomas St, Surulere 101211, Lagos, Nigeria",-5909,,others,6.490106136,3.354819699,"Bode Thomas Street, Surulere, Animashawun, Surulere, Lagos, 102215, Nigeria"
Hogg Engineering,"31, Idimu Road, Alimosho, Lagos, Nigeria",8124226632,,others,6.563185321,3.274572259,"Idimu - Ikotun Road, Idimu, Alimosho, Lagos, 100263, Nigeria"
IHS Towers Nigeria,"999F Idejo St, Eti-Osa 106104, Lagos, Nigeria",0700 077 7777,,others,6.42706935,3.412085489,"Idejo Street, Victoria Island, Eti Osa, Lagos, 101241, Nigeria"
Images Sms Nigeria,"39, Ilaje Road, Bariga, Shomolu, Lagos, Nigeria",8033886650,,others,6.530699776,3.395154083,"Ilaje Road, Bariga, Shomolu, Lagos, 100231, Nigeria"
Isatong Doc,"29 Adeniran Ogunsanya, Lagos, Lagos, Nigeria",+234 806 310 2292,https://www.businesslist.com.ng/img/ng/n/_1495007319_45897.png,others,6.494317491,3.357352432,"Adeniran Ogunsanya Street, Surulere, Animashawun, Surulere, Lagos, 102215, Nigeria"
Kaden International Limited,"19, Agege Motor Road, Ikeja, Lagos, Nigeria",8033339638,,others,6.552375057,3.353210289,"Agege Motor Road, Tinubu, Ikeja, Mushin, Lagos, 100271, Nigeria"
Krystal Top Sms And Gadgets,"121, Obafemi Awolowo Way, Ikeja, Lagos, Nigeria",7030305939,,others,6.602383275,3.344455913,"Obafemi Awolowo Way, Alausa, Ikeja, Lagos, 100282, Nigeria"
Kweek Sms,"16, Fagbile Street, Surulere, Lagos, Nigeria",8027176720,,others,6.508055866,3.365866297,"Fagbile Street, Surulere, Lagos, 102215, Nigeria"
Mabon Limited,"29 Sanusi Fafunwa Street, Victoria Island, Lagos, Nigeria",(+234-1) 2624880,,others,6.431168163,3.427230749,"Sanusi Fafunwa Street, Victoria Island, Itirin, Eti Osa, Lagos, 500001, Nigeria"
Maxdan Sms,"79, Randle Avenue, Surulere, Lagos, Nigeria",8037586297,,others,6.508461695,3.356957731,"Randle Avenue, Surulere, Lagos, 102215, Nigeria"
Mobile Automated Systems,"6, Adepele Street, Computer Village, Ikeja, Lagos, Nigeria",8077701057,,others,6.595597741,3.339391893,"Adepele Street, Computer Village, Ikeja, Lagos, 100282, Nigeria"
Naijalink Limited,"2-4 Moseley Rd, Ikoyi 106104, Lagos, Nigeria",+234 810-632-8606,,others,6.45549785,3.44430215,"2-4, Moseley Road, Ikoyi, Falomo, Eti Osa, Lagos, 106104, Nigeria"
Rhema Media Services,"Bode Thomas, Surulere, Surulere, Lagos, Nigeria",8036395493,,others,6.490106136,3.354819699,"Bode Thomas Street, Surulere, Animashawun, Surulere, Lagos, 102215, Nigeria"
Spread Media Bulk Sms Service,"15, Saka Tinubu Street, Eti Osa, Lagos, Nigeria",8103802890,,others,6.42707194,3.4202299,"Saka Tinubu Street, Victoria Island, Itirin, Eti Osa, Lagos, 500001, Nigeria"
Squareme,"45 Bourdillon Rd, Ikoyi 106104, Lagos, Nigeria",01 330 291,,others,6.44669242,3.444498588,"Bourdillon Road, Ikoyi, Falomo, Eti Osa, Lagos, 106104, Nigeria"
United African Insurance Brokers Limited,"33B, Bode Thomas Street, Surulere, Lagos, Nigeria",(+234-1) 7738986,,others,6.490106136,3.354819699,"Bode Thomas Street, Surulere, Animashawun, Surulere, Lagos, 102215, Nigeria"
Wellbeing Foundation,"30 Saka Tinubu, Victoria Island, Lagos, Nigeria",(+234-1) 2696935,,others,6.42707194,3.4202299,"Saka Tinubu Street, Victoria Island, Itirin, Eti Osa, Lagos, 500001, Nigeria"
World Receiver Cargo Services Limited,"1, Modupe Street, Ikeja, Lagos, Nigeria",8036683166,,others,6.601041041,3.336953566,"Modupe Street, Ikeja, Lagos, 100282, Nigeria"
Eleganza,"Ikeja , Lagos, Lagos, Nigeria",+234 1 4724216,https://www.businesslist.com.ng/img/ng/g/_1726036127-45-eleganza.jpg,others,6.5960605,3.340787,"Ikeja, Lagos, Nigeria"
Expensive World Entertainment,"Agbara ogun state, Lagos, Nigeria",7063061420,https://www.businesslist.com.ng/img/ng/s/_1478543283-16-expensive-world-entertainment.jpg,others,6.498206781,3.086402402,"Ota-Agbara Rd, Badagry, Lagos, Nigeria"
Arkland Properties,"Lagos, Nigeria",+234 906 254 7100,https://www.businesslist.com.ng/img/ng/a/_1695941754-67-arkland-properties.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Atiat Insurance Brokers,"Lagos, Nigeria",+234 802 305 0209,https://www.businesslist.com.ng/img/ng/b/_1695945941-99-atiat-insurance-brokers.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Bazar NG,"Lagos, Nigeria",2.34804E+12,https://www.businesslist.com.ng/img/ng/f/_1695941678-43-bazar-ng.png,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Blynk Ecommce Platform,"Lagos, Nigeria",2.34901E+12,https://www.businesslist.com.ng/img/ng/b/_1695940608-80-blynk-ecommce-platform.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
DevCareer,"Lagos, Nigeria",+234 703 799 7865,https://www.businesslist.com.ng/img/ng/h/_1695940991-91-devcareer.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Enoch Diary,"Lagos, Nigeria",-7481232,https://www.businesslist.com.ng/img/ng/k/_1695941723-47-enoch-diary.png,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
ErrandPlace,"Lagos, Nigeria",2.34803E+12,https://www.businesslist.com.ng/img/ng/b/_1695941071-77-errandplace.png,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
FastTransacts,"Lagos, Nigeria",2.34903E+12,https://www.businesslist.com.ng/img/ng/k/_1695940810-34-fasttransacts.png,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
focythe,"Lagos, Nigeria",+234 908 709 1927,https://www.businesslist.com.ng/img/ng/x/_1695941120-15-focythe.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Gyst,"Lagos, Nigeria",+234 700 000 0000,https://www.businesslist.com.ng/img/ng/n/_1695941868-49-gyst.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Helene,"Lagos, Nigeria",+234 7083530492,https://www.businesslist.com.ng/img/ng/s/_1695940602-45-helene.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Koye-Cairo Multimedia,"Lagos, Nigeria",+234 09096750450,https://www.businesslist.com.ng/img/ng/n/_1695941673-44-koye-cairo-multimedia.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Laduba Group of Cos.,"30, Bombay Cres., Lagos , Nigeria",01-5870700,https://www.businesslist.com.ng/img/ng/z/_1695940453-55-laduba-group-of-cos.png,others,6.441767618,3.366344373,"Bombay Crescent, Ilado, Apapa, Lagos, 101001, Nigeria"
Loggerbros,"Idimu, Lagos, Nigeria",-2553794,https://www.businesslist.com.ng/img/ng/n/_1695941071-82-loggerbros.png,others,6.5752564,3.2839038,"Idimu, Alimosho, Lagos, 100263, Nigeria"
Mega Labourers Services,"Lagos, Nigeria",+234 812 327 3306,https://www.businesslist.com.ng/img/ng/h/_1695941876-57-mega-labourers-services.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Micro Leasing,"Suru-lere, Lagos, Nigeria",+234 703 003 6020,https://www.businesslist.com.ng/img/ng/z/_1695945987-36-micro-leasing.png,others,6.5024582,3.3590279,"Surulere, Lagos, 102215, Nigeria"
Nigerian Institute of Management,"Victoria Island , Lagos, Nigeria",-2701203,,others,6.4300279,3.4259904,"Victoria Island, Itirin, Eti Osa, Lagos, 500001, Nigeria"
OGA Hotels,"Lagos, Nigeria",2.34818E+12,https://www.businesslist.com.ng/img/ng/k/_1695940891-30-oga-hotels.png,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Orixastream,"Lagos, Nigeria",-13964,https://www.businesslist.com.ng/img/ng/b/_1695940565-65-orixastream.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
PanAfrican Capital Holdings,"Lagos, Nigeria",+ 234 1 271 6899,https://www.businesslist.com.ng/img/ng/j/_1695946067-73-panafrican-capital-holdings.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
QatGifts,"Lagos, Nigeria",2.34906E+12,https://www.businesslist.com.ng/img/ng/b/_1695940566-87-qatgifts.png,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Rent Small Small,"Lagos, Nigeria",+234 (0) 70 8778 9815,https://www.businesslist.com.ng/img/ng/z/_1695941633-89-rent-small-small.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Risk Analyst,"Ikoyi, Lagos, Nigeria",+234 812 573 7367,https://www.businesslist.com.ng/img/ng/b/_1695946019-53-risk-analyst.png,others,6.456061,3.442218,"Ikoyi, Falomo, Eti Osa, Lagos, 106104, Nigeria"
Safi.NG,"Lagos, Nigeria",2.3491E+12,https://www.businesslist.com.ng/img/ng/e/_1695941620-70-safi-ng.png,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Sleekjamz NG,"Lagos, Nigeria",2.34803E+12,https://www.businesslist.com.ng/img/ng/z/_1695940898-15-sleekjamz-ng.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
StrikeBuzz Digital,"Lagos, Nigeria",2.34704E+12,https://www.businesslist.com.ng/img/ng/h/_1695941177-71-strikebuzz-digital.png,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
TalCube,"Lagos, Nigeria",+234 813 246 5611,https://www.businesslist.com.ng/img/ng/s/_1695940836-49-talcube.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
The Chartered Institute of Taxation of Nigeria,"Maryland , Lagos, Nigeria",234 01 4935054,,others,6.5731894,3.3699482,"Maryland, Kosofe, Lagos, 100212, Nigeria"
The BSD Academy,"Lagos, Nigeria",+234 706 724 0619,https://www.businesslist.com.ng/img/ng/n/_1695941054-50-the-bsd-academy.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
TopCheck,"Lagos, Nigeria",23481845196,https://www.businesslist.com.ng/img/ng/d/_1695941834-54-topcheck.png,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Xfests,"Lagos, Nigeria",+234 706 9611 939,https://www.businesslist.com.ng/img/ng/e/_1695940810-43-xfests.png,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Android Pocket,"Lagos, Nigeria",,https://www.businesslist.com.ng/img/ng/l/_1695940649-57-android-pocket.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
