name,address,latitude,longitude,type,zone,google_logo_url
Workcentral Alaka Estate Hub | Surulere | Lagos,"5 Alh. Tokan St, Alaka, Lagos 101283, Lagos",6.4925704,3.3636549,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcJ-aRTjXjBpSt8KSU_fEV2V3foWy11xBVY_HnW87X__5EzAp91TYOR8-a7u470AMeAQL6BGxKCAP2DiCcCOL24LvKgK62krLbwaBjJXhA5yStca3dFva8Ty36e909tPsSV1kQFvAPdM6X-xcDUlgxK81IXt02tBuNaWXWZAfXPOlPOPtRNxW6SnIIq_sOdqFIxzg2AxHxFhaJZuLB-Jf2RT9r7AHZ-xlxTG05dOUZuWsfz0jpyBKsB-Zh2PHGImPb8eWGd6ITp_MbOTxlb2QopbxBdSseVzca3-OckXBZ8nv5MpRBccpRz8l01DI-yy5arAU-cclMs&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
iCreative Writers Hub,"3 Emmanuel Onoji Cres, off Olokonla Road, Eti-Osa, Lagos 106104, Lagos",6.4732231,3.6101021,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcJR-yISpxb_M--Qw5maZ316NiPkcY_AHQ8QippSSRPRHUCeKwdTOemgyi_kSKtYksOppSXR5L4PMOuHQFY17OULPBauESkv3WO3eXY6TB0OcLT6E2rKE-gHpUSmkP8qpxjNKU3GEL-BCUsZTLHbke3wZEsuhcrkPKa2ERvQwKelqy7mimDmDrH312r8muvIJDUInz4nKYt2cdsZM5xc7JS4mscau8jRGTr8T3uOUXptDjTQVxN8vvMEpuPwNbeg212Jn_vypP0exLBMj9_74JLNY48cmk8i8t-7UWUu0qiwnq2O_QN_x2A_9MFtxiYpsHI3STwASTk&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
theBUNKer Yaba,"279 Herbert Macaulay Wy, Yaba, Lagos 101245, Lagos",6.5007182,3.377628,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcJ2HzLu61652RGfCmVeRP-2vL1rOsQaFv30MfOrzlM9mzcPDGYnx5Jt4SNjEzOC7YK6P4Svzmx1a4jjkVMn4yKg8Kbg1-VEMvcXcnpiDN4nqKUzT8lJTqLJQ5sV-JwanQkAG8yAFcr7VdoZt465jGcLZ6zE8TkE9NBnGL2hJ3MYXa2Hc5nixsy2Gj02CtjBtgEbqsMqOwbQAn1eDj6I40sl-JmNtJiFtOGHMvmeYN8zd6dpU9dXvAV8aU8ulXafNyEoK-tBQRo2F0xWtTRQy24kz0ZWkYrQo84BUk2iZSnvqLfRlKuAy38pDUR0GF84M-TE74Sz3-E&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
HUB30 Coworking Space,"29, 204 Road, 2nd Ave, Festac Town, Lagos 102312",6.4628383,3.2934209,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcIScxz5PF2GJenh7jLzN0OUIDe8fdFo_NjDV6Jyk6rkx2DzbZ5lvJ1A_UjyMpa5Or1F6x55iecQN9JsFRRtJIivQmdNa7g4vQpRWei4MLtsfQvgOnVvdcqEEuRvhxF4KBYo8b1PFVO59w15tsgqmJbZv3GkHrdsV3KJaNQ_oVkdpRZcVcNLJdp4vZ9T572sCPDZhhjR6W9GF14H1Ot4MG-RpILRbJ1WRv719Vq9s1fj3xqhwDOXX8Ht-dLHD-ymrV3vBNwi3HKIVBzbJowU4ighDIDvO7itByCaVfySXnu2OID-8nFrR0z36-QFlfnonT525ndEEJo&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
Workcity Africa,"Workcity, Plot 1, Maruwa Bus Stop, 128 Remi Olowude St, Lekki Phase 1, Lagos 105102, Lagos",6.4298268,3.4689061,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcKGiDd8NIT5tCCYf8B9mfbzCpDuGsX3ImtFUztALwsTLtCgtN1lj4iXsCyxdoUti_F6JIT6YpDjG8qtWhqcg596_109JzzSvNV0WnOhjCvVaRbvlaEN2zWGNa98Vcl6O9BAXZfwq0DCZWE2EpdUVYHljPfljAB-TFw22b8wpiW3UWYaFVIrFWuP0DLeFgbc8gjCpmR4isWOtURLQsW8IsSmVwHGo5j-ygwscsA4eW-JacCcB1pqdVzbcUYckxLowty9xyP4nGeGxCJo8Btx-XflIH5Sygm6s-vpgGJeSy6XUBphd6gMFMpTQ469NAhAwFgeINWTBAU&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
Hot-Desking by Cr8tive Workspace,"Shopping Mall, D22 Adeniran Ogunsanya St, Surulere, Lagos 000234, Lagos",6.4911014,3.3566864,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcJAEUj9DyN_SHRCkjNpaTKhvPS2-d_HHPQNlyC03VW-zjPehmgR0HRBPtCpp7Cb8QkoMaMDBYFgaxAspTyhuGxMrPs5KhXcmYFHbT9Hl1xr7UXrybWU3F2PeapCLNRtgIVMnIINo5dD3YTBgUWcwUoN9DHOiEH5Xs67QGRK9Fx_Rpjg3lgVgmNhcgfMmsvj2QCuE9FEr-c39r5KfwUHbydwUxVV5E987iCzxCqtb1cVcZKaUUVE7Y89JdSg_uWiMZSPAhTwgyEl29J6H9aSbGn-0FO8yuI9spB-mCajqCFAwtjiptrzom2z9zvA7RKCS1r3o5WfX1g&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
The Nest Innovation Technology Park,"1A Hughes Ave, Yaba, Lagos 101212, Lagos",6.4992962,3.3766976,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcLAS0rjKNlZXYGPFTeNBNfmscOLtHyQdlvtnJriG_DOvBrLLuHRyB6RlNaEfC3Y-U2tFMMI3r4PiFFCchQrJD5Tc-LbmP4ZpvuV128pscAzvQ5fZqXdNlu6ZXJ2cTG8a6AtjM8lxXmpv53Gb1Oi_Po3Ms4aBF5WtetvgtL5xv8kNSSAAXY5IOYEB0swfRMhQj4S0mYOCTHqM3nT9Qm9qqxoc4c5wLg4xY73aTSJFxFeW2RMTFN4ss6nk6CmlXvXjxwUXfspr8JOrIPxnWhh-hPlQMLOcftzTlmX0hzMiInud3-mHMxL7NTERMHSajn14LhwbHY6tK_sxnygKJWBsphG3VhWsFvieL9aY3fBaEEsHeVK8uka4_aGSecEia31-GPUdTFGIybAL5_yKYk9Y9Y6CA6fpC3savbhJS15KogftNK-V593mLbyM8K-T4OSKLTdg1dP9yM9zrL4FQ33X2cLFgCKrQoBuoKBaoMU9LIeZVCxhT9DUFAUpIZ0aYmJQVhFDwCf3ZB6JjAoh39W9sAK9ddmz57BdngkpRE6g8mipH55gHuWpmMdm1mah1LB_xKNFNfT6Qm3U9gHRVr2lAjnM6_exqeIsdL7WrzRlW41daqREB6FPmovSgZTLOHtZ1pwAA&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
Workstation,"Lagos NG, 350 - 360 Ikorodu Rd, Maryland, Ikeja 100211",6.5666447,3.3670074,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcJDBlrABfMh0gXFhQZQNYWCKNmpbuD8C4YQCiD1BbEGPLiHOujYmSXKGqPu0VBN573dNMkojeNuwrwO7RAN4kk9S5gmd5Qzz2brVVR0dsSpxFEW2r0hsgIdL-kvWZaxN7FUxLtQbYQlL19m_RT5hdpfzJdA6VRU7j9jGG_hPKj8YfpEanhVe5zPoQPOGPbqsyJTVjelHMuoKoLgNxwXIpp7WNKkCahUJY-a9V0dNWnBIpECZ-u8HR_Id9qTH2Op1EmtNaYg-zsNAw86kGe_8RAobUu5lDFjYrSJROwWT3PPe_8IbHgc-ykStVawOGT9nGS_KfK6xxb0dIxq0z8MEQKSqEkA3iN_xtaTdCLZL6DyQEsIJDOF4IDg_4fzLtgOAZ-vFSHyp41FYj9Hfvcb1Qzy7TxAsP4mADE884NRRVlMjLaAW3RIwByLZauHUmkmwu_R4ddo__AX-cfjt4iqq_IbEJOaX29QTV2s2EdeWyskON2wH010xYmwv8jy4Af4ioc-SQ8jX0KVTBaN_a_nUq0pdJo5bDfLEOnNTmeLLzSLbP9qJgkfnasMksHKOO0oqc3NhtKSPRW_kcc5imoSD9uaVKJAGFLtvimE8wpcBSAYbeqVGCfuiACgwWmljjZ21oflBg&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
MusterPoint CoWorking Space,"Plot 49 Wemco Rd, Ogba, Ikeja 101233, Lagos",6.6316296,3.348881,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcIMN7vxzOJBuO40WiDK9Uebpp_SH79V09GnB4ygHkNXXjS2BBQjmr3UsxkFnvk-JOHyiBJPD_n67nP_Pnp40vETxlHROaFhuoCg6SyPaPfN86E15HDBDfJYEDPySckSzl2t1SQknLciG9I8_eNjx_7UULHajTukhu6GNUGaArfJ1xbbR7Ha3xqPAyeSf6a7bBHrbyVXHVJnUF0NRiiLoaCRT13StI35wnQBR3Pg8s59wSJJ7XI0OHdwgZ4-X3_QQki84vAXzLmg8XDv03kSh180cuRXbb2XwYKgvwLPvwD_YBZiSL_1VHd5-ncijxORUCqOghyZCrA&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
Ajegunle Co-Working Hub,"101 Kirikiri Road, Opp Mobil Filling Station, Wilmer Bus stop, Apapa, Lagos 100211",6.4483597,3.3345696,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcK3lpM-d8RI4zTKxLqCv0jwpm1Sfkm7WdplAbwjJjgXyXlA9tLOeJXwpPTIUPL9i2I4GR-ISe4oATD3W0wX0ErvYkFMHSA3E4hR_l_Lkobe2eBTsG3JEiguKcbhGQOrW_QV36aHJ1fw8YgY54EQ7ElfGavgRIi6UDjQFM2N0_fIku038jj0h0nJdeCTZEgQ8JEL1vCu7xoMJpjbmcud-Uk78PSqjOltrzgAFd2HHx9v99vVL195pD1BLD98Q7ZsZANsRgvICm-3mEPGuc5rR08608Szcoyz6XyU2UnYE3UFa5BGaDh-o2Jh45xCS52JdwHmaBKJXuQ&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
989 Workspaces Standard Chartered Building Ahmadu Bello Way,"142 Ahmadu Bello Wy, Victoria Island, Lagos 101222, Lagos",6.4278921,3.4092542,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcJAaz6QRUvRvf6l5GY6GXhDfAYlBWRLrdfUveirTRKD4nEc0Jd7Ww0MiXbWnTFGytytPtDlmYgZkur5picH7qvS62OS1qs_eZ-fkbYLlyI_ENf_piKnaVEyo1GmmVBmZs7k0nCcVUBuatR-s5pv5rLsvX4sa1h1kQUzzVtIWZTgKN9OsvqYkf2t1pIRBOLY6Y-dcup-erbiTeTshTLHyyYO6aXb91-Jf8ca4mt30IHP2GDTHUUWXgbdVIDMHdTJkaZDrCVLRbF81SaopduVSZLGLbO7j6olwWzifoADu6pVNYyVBCsWX7fYIGs_Q6gQTCmJww2SybE&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
TyWorkSpace,"17 Ibikunle St, Yaba, Lagos 100001, Lagos",6.5140461,3.3769924,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcLn_5qnsfL5ZJEq6O6OYAg7dvSn5_g2MIoTq3qcdE5qRtBPre7_8IrylGC4hkuAC_HHPkQ88QN7mmaUcWZZgzbrsexstSfpK1LFBB9saMdPVrruz5dwtClUynV0QReZeHCK0wrRAognC8-hzaKMjthR8MU8WNjcaiLGmrVYgSorktHqGiGBizXkI3UrGqTgwEU0DuE-ADzlX2jiUhkDzfzJvIK9aMTwNiIi-Az1cZNOoc2eIW2UDXQcAE0R8KRv2zBCoPwsOxEsI2cRb4Qmk0s2oz1RHXAHf3I6HYi9khP3vTa6gdBeFHDIJbBMBPxtw_PTYQwaTA8&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
OFFICE 33,"12D Wole Ariyo St, Lekki Phase 1, Lagos 105102, Lagos",6.4427536,3.4587236,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcJSbYAwEbUSjPO7YjL_FOtxdy2QNWklSd7jaBCxNWCWGADIJcIt2zSY0fncl4bt9vDO-Amas8WcDMwBgyx7ZkbEBeP5U4s2bMIrgT-In6vGZdLSju_cPVvu3xBl3_RvpFFeabhOPsvx9-nvDm0FmQZwNRM6WZLcvYySBOeCQIrTXvhYkKr_hNw6kU9fQ2v_W4Tp9hPTXk7pJ6kYtAfsxUvd_jIo_MePO5XKimGORGJpTRzeodWl_djEGtDg_Qr4ACWYNurPleGjlAP4sLllg08renGN6Js8-gzCLMgc7OEzJOsQZeZcKd8GQlKR0oo3-vhYi8tuzHM&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
The Workshop Arcade,"Plot 1, Banex Mall, Akiogun Rd, Oniru, Lekki 101243, Lagos",6.4329562,3.4570212,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcJK0TKJ2cVuNhvdvg4-HkSrcej-ZfFm62Z19kTmd84-PDNrFs3MqXeYHhzFstCBItQk71_Y1xz0ybjPQLQs9F6ZY6rYPmQGKtk9RQVCs5gufH4J8_C8G0i8IoQmUzuSELFVkLPQimFcLOGBsE-T_58muEHA5mPSqDJWj2jgzktp8gdhS2alvwQLpCddI2TYR2MzTGCl2dZKze6QLvKz7Qx37gIsyzt0tCVaPKbjM368H-cD2-tR8MURF1gz1UwxFAIbxRozVUkKZu4Oy3Z0EUZA0iIcPrt41pNSRuAX_vAJp2OKGKkfa4GA5iV7i529NyED1a0TfXQ&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
V8 Valley - Workspace,"7b Dr. S. Ezekuse Cl, Lekki Phase 1, Lagos 106104, Lagos",6.4508274,3.4722096,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcJzRGYEwGBvLQWbK9j7ZXSGyEaqZEIgjdgx_9CwtA372n5hNlzeCXLf377rn37c0GUDu8SzrfNZoVqC9_973jN0gI7JkWx9taf654X2BIea1VX3v1a8jMMm9EoVdJGHnEMIf4toN9eKxWQwXXxNTE1JWUz9lO8KkeA9PGvFBXa-qPReW_pM0PfzwvSFa7jZa1tjVHimnnaKiSGoWfNHHWSJAaKAAdLCHT9RV4SX8I3hlRF83B0ok1afjQ_HM-juSa_2f0d9w01ECpYBMQ35hockS4MO451s8k-bfsxoL8M1BM6YKJxrNdahm5WqwPGtXHUFlcNmB8g&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
Glendale Workspaces,"4 Babatope Bejide Cres, Lekki Phase I, Lagos 106104, Lagos",6.4432793,3.4740538,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcKWrjS3GNr3gKVuCGUA_YSCxFCKVdDR7Om42phYpmRw44M3ys3HfGfuj2Y4MBqopiBngoKBQprI4DpSDkH4OWcplB40Vxlaiv-5tERTPMOMcqGCWO1ext3bOOHMMOi_eB-1P23S4EG6m983WHmPbsDuatZ3ngTryrgDcRkGaYi-7bOldeqnymXAYL3x9Xjr9Va5SeMNzpEfJdMYBVICo-S_9LVEj6roRSwfShr4vNZcUUAfXDHpHh7THoIuczyEp5VHU6hVwIM8zA8FBFSPKRIHdpMoqPyEnAZyAoKiYQAwyqhXdHNpGaTAmCBLVWjxjD6fcW4qoy4&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
EMERGEHub,"4 Ayanboye Street, Off Faramobi Ajike St, Anthony, Lagos",6.5622372,3.3697469,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcIpHhKieCkrOkqOaxoevvP_TitRYVqm-NpdSvLDejYuJ6hzgJ8cgPIAVk1GW76Mpk42wbd11e2bhcdoGMQ0uEKN5XoXFqhke258-3LMArVp3UAgK7sahUrb-fOXonBs1CJ-zebmZP7SlzP4BIb3sTZ-AW7Nxs1WXGUv7kNZnD4w53jO9dPHogEheZkX3Fnki1OM2J1yBC-yRV49ujc_0OMwIhpm28VuN8MnOiQUZfWgUV9O6VajMZ5CgI6or_GbLfveqeCg3o_tGPp9Dafvb8tDfEBdcY7nPtTpXagMwLX-CZTCKoP2EZJ9CcJ5RVdk4w2WST3smF0&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
